"Offense","Count"
"SODOMY",1206
"STATUTORY RAPE-2ND DEGRE",1003
"RAPE",896
"CHILD MOLEST-1ST DEGREE",793
"STATUTORY SODOMY-2ND DEG",766
"SEXUAL ASSAULT",724
"SEXUAL ABUSE 1ST DEGREE",553
"SEXUAL MISCONDUCT-1ST",541
"STATUTORY SODOMY-1ST DEG",493
"SEXUAL ABUSE",482
"DEVIATE SEXUAL ASSAULT",423
"STATUTORY RAPE-1ST DEGRE",381
"CHILD MOLEST-2ND DEGREE",370
"POSSESSION OF CHILD PORNOGRAPHY",255
"STAT SODOMY-1ST DEG-PERS UND 14",175
"STAT RAPE-1ST DEG-PERS UNDER 14",164
"SEX MISCON-CHILD-1ST OFF",157
"INCEST",155
"SEXUAL MISCONDUCT-2ND",143
"SEX MISCD/ATMP INVL CHLD-1ST OFNS",139
"ENDANGERING WELFARE OF A CHILD-1ST DEGREE",138
"CHILD MOLESTATION-1ST",128
"ATTEMPTED RAPE",105
"SEXUAL BATTERY",105
"AGGRAVATED CRIMINAL SEXUAL ABUSE",103
"SEXUAL ABUSE 2ND DEGREE",91
"CHILD MOLESTATION",83
"ENDANGER WELFARE CHILD",76
"SEX MISC-1ST-PRIOR CONV/WEAPON",58
"SEX ABUSE 3RD DEGREE",56
"STATUTORY SODOMY - FIRST DEGREE",52
"RAPE/ATMPT RAPE W/ WEAPON",49
"AGGRAVATED CRIMINAL SEXUAL ASSAULT",48
"INDECENT LIBERTIES WITH A CHILD",46
"SEXUAL ASLT 2ND DEG",42
"ATTEMPTED SODOMY",39
"AGGRAVATED SEXUAL ASSAULT",38
"SEXUAL MISCONDUCT-3RD",38
"ATTEMPTED CHILD MOLEST-1ST DEGREE",37
"INDECENT EXPOSURE",37
"ABUSE OF CHILD",35
"CRIMINAL SEXUAL ASSAULT",33
"CRIMINAL SEXUAL ABUSE",32
"SEXUAL ASSAULT 2ND DEGREE",32
"SODOMY - PHYS INJ/WEAPON",32
"SEXUAL ABUSE 3RD DEGREE",31
"AGGRAVATED SEXUAL BATTERY",29
"AGGRAVATED INDECENT LIBERTIES WITH A CHILD",28
"ATTEMPTED SEXUAL ASSAULT",28
"CHLD MOLST-2ND DEG-INJRY",28
"STATUTORY RAPE",28
"FURN PORNO/ATMPT TO MINOR",27
NA,27
"SEXUAL ASSAULT OF A CHILD",25
"USE CHILD-SEXUAL PERFORM",25
"AGGRAVATED INCEST",23
"ATTEMPTED STATUTORY RAPE-2ND DEGRE",23
"CHILD MOLEST-1ST-WEAPON",23
"CRIMINAL SEXUAL CONDUCT 2ND DEGREE",23
"SEXUAL ASSAULT 1ST DEGREE",23
"PROM CHILD PORNO 1ST DEG",22
"RAPE 2ND DEGREE",22
"SEX CONT W/INMATE-EMP OF COR FAC",22
"AGGRAVATED SEXUAL ASSAULT OF A CHILD",21
"ATTEMPTED STATUTORY SODOMY-2ND DEG",21
"ENTICE CHILD <15-ACTOR 21/OVER",21
"CRIMINAL SEXUAL CONDUCT 3RD DEGREE",20
