"","N","Y"
"ADAIR",0,55
"ANDREW",1,27
"ATCHISON",1,5
"AUDRAIN",10,63
"BARRY",11,80
"BARTON",0,24
"BATES",2,50
"BENTON",1,63
"BOLLINGER",1,35
"BOONE",8,246
"BUCHANAN",2,228
"BUTLER",4,141
"CALDWELL",1,28
"CALLAWAY",1,103
"CAMDEN",0,96
"CAPE GIRARDEAU",22,124
"CARROLL",1,21
"CARTER",1,22
"CASS",7,120
"CEDAR",0,25
"CHARITON",1,13
"CHRISTIAN",1,100
"CLARK",1,16
"CLAY",8,254
"CLINTON",0,26
"COLE",2,115
"COOPER",0,47
"CRAWFORD",0,73
"DADE",2,21
"DALLAS",2,49
"DAVIESS",0,20
"DEKALB",0,13
"DENT",2,44
"DOUGLAS",5,32
"DUNKLIN",1,122
"FRANKLIN",5,188
"GASCONADE",0,26
"GENTRY",0,16
"GREENE",4,572
"GRUNDY",1,30
"HARRISON",0,21
"HENRY",11,64
"HICKORY",2,31
"HOLT",0,13
"HOWARD",0,26
"HOWELL",16,103
"IRON",5,31
"JACKSON",208,1528
"JASPER",6,273
"JEFFERSON",9,306
"JOHNSON",0,74
"KNOX",1,7
"LACLEDE",3,126
"LAFAYETTE",1,64
"LAWRENCE",7,89
"LEWIS",1,31
"LINCOLN",0,124
"LINN",3,26
"LIVINGSTON",0,38
"MACON",6,36
"MADISON",0,50
"MARIES",5,16
"MARION",7,94
"MCDONALD",4,50
"MERCER",0,8
"MILLER",0,80
"MISSISSIPPI",5,41
"MONITEAU",4,19
"MONROE",0,30
"MONTGOMERY",2,28
"MORGAN",13,68
"NEW MADRID",5,58
"NEWTON",0,141
"NODAWAY",0,25
"OREGON",5,26
"OSAGE",4,23
"OZARK",3,21
"PEMISCOT",3,69
"PERRY",0,26
"PETTIS",4,117
"PHELPS",0,88
"PIKE",2,27
"PLATTE",4,74
"POLK",5,74
"PULASKI",11,69
"PUTNAM",0,5
"RALLS",1,23
"RANDOLPH",7,106
"RAY",2,52
"REYNOLDS",4,17
"RIPLEY",1,41
"SALINE",2,90
"SCHUYLER",0,17
"SCOTLAND",0,4
"SCOTT",1,87
"SHANNON",2,19
"SHELBY",0,18
"ST. CHARLES",0,322
"ST. CLAIR",8,27
"ST. FRANCOIS",5,214
"ST. LOUIS",2,1125
"ST. LOUIS CITY",101,926
"STE. GENEVIEVE",0,47
"STODDARD",7,82
"STONE",1,71
"SULLIVAN",2,15
"TANEY",9,122
"TEXAS",1,40
"VERNON",1,53
"WARREN",1,64
"WASHINGTON",6,86
"WAYNE",1,29
"WEBSTER",5,93
"WORTH",0,2
"WRIGHT",2,65
